District,DPI,DemBase,Name,Party,Pickup,Pickup_code,YearElected,MNLEGPERC2014,MNGOVPERC2014,MNLEGDIST2014
50A,0.6249988061724256,0.5807457785357828,Linda Slocum,DFL,Incumbent,1,2006,0.6472339758658517,0.6008554189261437,50A
50B,0.5707615985245624,0.4728056164082281,Chad Anderson,Republican,Incumbent,1,2016,0.6560156504727747,0.5396825396825397,50B
51A,0.5398025543661559,0.4831480348506216,Sandra Masin,DFL,Incumbent,1,2006,0.5146704464918498,0.5146987281951491,51A
51B,0.5174481073062138,0.47087541037469227,Laurie Halverson,DFL,Incumbent,1,2012,0.5108505425271264,0.49882068687798425,51B
52A,0.5911810940350848,0.5386170911563769,Rick Hansen,DFL,Incumbent,1,2004,0.5938411078717201,0.5478034647903979,52A
52B,0.5496054495116018,0.45804840652509304,Joe Atkins,DFL,Incumbent,1,2002,0.6447402938090241,0.48691268661539455,52B
53A,0.5725776817086701,0.5340932789837899,JoAnn Ward,DFL,Incumbent,1,2012,0.5836279198724613,0.5313663125126886,53A
53B,0.47393510490089186,0.43303575815147655,Kelly Fenton,Republican,Republican,0,2014,0.42960764919221894,0.44074336055559127,53B
54A,0.5620025080150477,0.5020084316520946,Dan Schoen,DFL,Incumbent,1,2012,0.5551878988418814,0.517399969339261,54A
54B,0.4934639791151047,0.4086935632854261,Denny McNamara,Republican,Incumbent,1,2002,0.39318927789934355,0.4652702702702703,54B
55A,0.45134073435387834,0.3783424790324752,Bob Loonan,Republican,Republican,0,2014,0.387625594923321,0.41985926505082094,55A
55B,0.3792025398072977,0.31534996037760454,Tony Albright,Republican,Incumbent,1,2012,0.35645256722109,0.3470393670147221,55B
56A,0.45614716325496407,0.39479535580150005,Drew Christensen,Republican,Republican,0,2014,0.4401190919240789,0.43335740072202167,56A
56B,0.478269603634337,0.41699537635210643,Roz Peterson,Republican,Republican,0,2014,0.4582875206157229,0.45484089370345293,56B
57A,0.4915872137687006,0.43144238936015267,Tara Mack,Republican,Incumbent,1,2008,0.4152198263791655,0.4734020618556701,57A
57B,0.47395556180757425,0.4107997067187197,Anna Wills,Republican,Incumbent,1,2012,0.41525205761316875,0.45763779527559056,57B
58A,0.41699021261037883,0.34865301543069105,Jon Koznick,Republican,Republican,0,2014,0.44634364876972915,0.3966302058563761,58A
58B,0.419878282446941,0.3592198739809309,Pat Garofalo,Republican,Incumbent,1,2004,0.36018411967779057,0.3948368036015757,58B
59A,0.8079425034646648,0.7947856256564834,Joe Mullery,DFL,Incumbent,1,1996,0.8198328690807799,0.7735665694849369,59A
59B,0.7751415104906147,0.7228633883332392,Raymond Dehn,DFL,Incumbent,1,2012,0.7809601008736378,0.7678464818763326,59B
5A,0.5305794454159664,0.48019739187509825,John Persell,DFL,Incumbent,1,2008,0.5515767344078486,0.4969333608986286,5A
5B,0.529055747352204,0.48153302840202283,Tom Anzelc,DFL,Incumbent,1,2006,0.5653682761921858,0.5101884117890261,5B
60A,0.7788203986079619,0.7396767764298093,Diane Loeffler,DFL,Incumbent,1,2004,0.8241980474198047,0.7508084074373484,60A
60B,0.7579041978002086,0.7043957537313754,Phyllis Kahn,DFL,Incumbent,1,1972,0.768886728245017,0.7557552967073282,60B
61A,0.8051641982862934,0.75675701996642,Frank Hornstein,DFL,Incumbent,1,2002,0.8078865248226951,0.7750953678474114,61A
61B,0.8058636318411925,0.7620585600936758,Paul Thissen,DFL,Incumbent,1,2002,0.8093564682626839,0.7723771580345286,61B
62A,0.8444823455715829,0.7949712280176322,Karen Clark,DFL,Incumbent,1,1980,0.8213003095975232,0.8224096385542169,62A
62B,0.860046868510529,0.8160160182610767,Susan Allen,DFL,Incumbent,1,2012,0.8866178172001543,0.8422297796835724,62B
63A,0.8319673183262677,0.7901361047357867,Jim Davnie,DFL,Incumbent,1,2000,0.8644077547028706,0.8134261838440111,63A
63B,0.7427286084806876,0.7184684614025125,Jean Wagenius,DFL,Incumbent,1,1986,0.7506332167410446,0.7226900584795322,63B
64A,0.7681492648113277,0.7142350843819316,Erin Murphy,DFL,Incumbent,1,2006,0.8121268082486919,0.7624411466714345,64A
64B,0.7051032182330488,0.6665908908333367,Dave Pinto,DFL,DFL,2,2014,0.7348960052822714,0.691297903874656,64B
65A,0.8025416682618479,0.7618367477307963,Rena Moran,DFL,Incumbent,1,2010,0.712013754566946,0.7915630182421227,65A
65B,0.7598557636936591,0.720752358062545,Carlos Mariani,DFL,Incumbent,1,1990,0.7754107239573931,0.7405782137325762,65B
66A,0.6654545008414079,0.6276141697850832,Alice Hausman,DFL,Incumbent,1,1989,0.6708570047141303,0.646465239073042,66A
66B,0.7641296498764572,0.7302271467116328,John Lesch,DFL,Incumbent,1,2002,0.7640680906429578,0.7376795123463168,66B
67A,0.7203267289119901,0.6867726756228627,Tim Mahoney,DFL,Incumbent,1,1998,0.7243460764587525,0.6774905831926225,67A
67B,0.7177022326505152,0.6848938769355097,Sheldon Johnson,DFL,Incumbent,1,2000,0.7282303370786517,0.6833915886796708,67B
6A,0.6601095333295941,0.6084874584004778,Carly Melin,DFL,Incumbent,1,2011,0.6938486193293886,0.6341627437794216,6A
6B,0.6311729846109491,0.559618145171503,Jason Metsa,DFL,Incumbent,1,2012,0.6410719322990127,0.6047924212872666,6B
7A,0.674928691885158,0.6444828956633188,Jennifer Schultz,DFL,DFL,2,2014,0.6211331918451347,0.6584417240499872,7A
7B,0.6909835755233522,0.6250744740508896,Erik Simonson,DFL,Incumbent,1,2012,0.7104668674698795,0.6681196896933875,7B
8A,0.4304479998114357,0.35747228250083224,Bud Nornes,Republican,Incumbent,1,1996,0.35221838469713074,0.39133302552602073,8A
8B,0.45463970222819405,0.3802153293377594,Mary Franson,Republican,Incumbent,1,2010,0.41364753323672104,0.3915934755332497,8B
9A,0.42180598432021876,0.357184932561709,Mark Anderson,Republican,Incumbent,1,2012,0.36015876274550057,0.3745036009961634,9A
9B,0.44657963684769836,0.3688492378008507,Ron Kresha,Republican,Incumbent,1,2012,0.4352587646076795,0.38964778358109015,9B
